Player,AllStar,Season,age,Team,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar,1,1973,26.0,MIL,NBA,C,81.0,,43.8,11.7,21.7,0.539,,,,11.7,21.7,0.539,0.539,3.6,5.2,0.7020000000000001,3.5,11.0,14.5,4.8,3.5,,2.9,27.0
Kareem Abdul-Jabbar,1,1974,27.0,MIL,NBA,C,65.0,,42.3,12.5,24.4,0.513,,,,12.5,24.4,0.513,0.513,5.0,6.6,0.763,3.0,11.0,14.0,4.1,3.3,,3.2,30.0
Kareem Abdul-Jabbar,1,1975,28.0,LAL,NBA,C,82.0,,41.2,11.1,21.1,0.529,,,,11.1,21.1,0.529,0.529,5.5,7.8,0.703,3.3,13.5,16.9,5.0,4.1,,3.6,27.7
Kareem Abdul-Jabbar,1,1976,29.0,LAL,NBA,C,82.0,,36.8,10.8,18.7,0.579,,,,10.8,18.7,0.579,0.579,4.6,6.5,0.701,3.2,10.0,13.3,3.9,3.2,,3.2,26.2
Kareem Abdul-Jabbar,0,1977,30.0,LAL,NBA,C,62.0,,36.5,10.7,19.4,0.55,,,,10.7,19.4,0.55,0.55,4.4,5.6,0.7829999999999999,3.0,9.9,12.9,4.3,3.0,3.4,2.9,25.8
Kareem Abdul-Jabbar,1,1978,31.0,LAL,NBA,C,80.0,,39.5,9.7,16.8,0.5770000000000001,,,,9.7,16.8,0.5770000000000001,0.5770000000000001,4.4,5.9,0.736,2.6,10.2,12.8,5.4,4.0,3.5,2.9,23.8
Kareem Abdul-Jabbar,1,1979,32.0,LAL,NBA,C,82.0,,38.3,10.2,16.9,0.604,0.0,0.0,0.0,10.2,16.9,0.604,0.604,4.4,5.8,0.765,2.3,8.5,10.8,4.5,3.4,3.6,2.6,24.8
Kareem Abdul-Jabbar,1,1980,33.0,LAL,NBA,C,80.0,,37.2,10.5,18.2,0.574,0.0,0.0,0.0,10.5,18.2,0.574,0.574,5.3,6.9,0.7659999999999999,2.5,7.8,10.3,3.4,2.9,3.1,3.1,26.2
Kareem Abdul-Jabbar,1,1981,34.0,LAL,NBA,C,76.0,76.0,35.2,9.9,17.1,0.579,0.0,0.0,0.0,9.9,17.1,0.58,0.579,4.1,5.8,0.706,2.3,6.4,8.7,3.0,2.7,3.0,2.9,23.9
Kareem Abdul-Jabbar,1,1982,35.0,LAL,NBA,C,79.0,79.0,32.3,9.1,15.5,0.588,0.0,0.0,0.0,9.1,15.5,0.589,0.588,3.5,4.7,0.7490000000000001,2.1,5.4,7.5,2.5,2.2,2.5,2.8,21.8
Kareem Abdul-Jabbar,1,1983,36.0,LAL,NBA,C,80.0,80.0,32.8,9.0,15.5,0.578,0.0,0.0,0.0,9.0,15.5,0.579,0.578,3.6,4.9,0.723,2.1,5.2,7.3,2.6,1.8,2.8,2.6,21.5
